11.06.2022|17:57:08; ¬лaдиSLAVE: ss
11.06.2022|17:59:43; ¬лaдиSLAVE: id
11.06.2022|18:01:25; ¬лaдиSLAVE: все прекрасно
11.06.2022|18:01:25; Kostya: ћоже ти його нахуй видалиш ?
11.06.2022|18:01:25; Kostya: Ѕудь ласка
11.06.2022|18:01:25; ¬лaдиSLAVE: н≥
11.06.2022|18:01:25; ¬лaдиSLAVE: ≥ ще раз пров≥рю
11.06.2022|18:03:16; ¬лaдиSLAVE: а хул≥
11.06.2022|18:03:16; ¬лaдиSLAVE: ти мав в≥ку за онл≥фанс просити
11.06.2022|18:03:16; ¬лaдиSLAVE: € тоб≥ пом≥г
11.06.2022|18:03:16; ¬лaдиSLAVE: не бачу!
11.06.2022|18:03:16; ¬лaдиSLAVE: коли ти останн≥й раз кидав!?
11.06.2022|18:03:16; ¬лaдиSLAVE: ти це маЇш писати кожен день
11.06.2022|18:03:16; ¬лaдиSLAVE: а день 2?
11.06.2022|18:03:16; ¬лaдиSLAVE: бл€
11.06.2022|18:03:16; ¬лaдиSLAVE: ну тепер не обов€зково :)
11.06.2022|18:21:59; ¬лaдиSLAVE: база
11.06.2022|18:21:59; ¬лaдиSLAVE: база
11.06.2022|18:23:02; ¬лaдиSLAVE: база
11.06.2022|18:23:20; ¬лaдиSLAVE: база
11.06.2022|18:23:41; ¬лaдиSLAVE: база
11.06.2022|18:24:39; ¬лaдиSLAVE: база
11.06.2022|18:25:19; ¬лaдиSLAVE: база
11.06.2022|18:26:25; ¬лaдиSLAVE: база
11.06.2022|18:27:41; ¬лaдиSLAVE: база
11.06.2022|18:28:37; ¬лaдиSLAVE: база
11.06.2022|18:29:42; ¬лaдиSLAVE: base
11.06.2022|18:29:42; ¬лaдиSLAVE: base
11.06.2022|18:29:42; ¬лaдиSLAVE: база
11.06.2022|18:29:42; ¬лaдиSLAVE: Ѕаза
11.06.2022|18:29:42; ¬лaдиSLAVE: це база
11.06.2022|18:29:42; ¬лaдиSLAVE: ахуЇнно
11.06.2022|18:31:08; ¬лaдиSLAVE: база
11.06.2022|18:31:57; ¬лaдиSLAVE: база
11.06.2022|18:37:20; ¬лaдиSLAVE: база
11.06.2022|18:53:06; ¬лaдиSLAVE: base
11.06.2022|18:56:36; ¬лaдиSLAVE: base
11.06.2022|18:56:36; Bot: ¬≥дправлено базоване gif
